流水號,編號,區域,里,路街,位置,類型,方向,燈別,瓦數,isOldId,X,Y,燈桿形式,高度
909941,850349,四,過嶺里,過嶺路二段,過嶺里過嶺路二段8鄰,水泥桿,,鈉光燈,250,FALSE,267019.6563,2762224.75,台電桿,10
909942,850350,四,過嶺里,過嶺路二段,過嶺里過嶺路二段8鄰,水泥桿,,鈉光燈,250,FALSE,266981.0625,2762249,自備桿,6
909943,850351,四,過嶺里,過嶺路二段,過嶺里過嶺路二段8鄰,水泥桿,,鈉光燈,250,FALSE,267002.0938,2762304.25,自備桿,6
909944,850352,四,過嶺里,過嶺里二段,過嶺里過嶺里二段76巷13號,水泥桿,,鈉光燈,250,FALSE,266963.1563,2762333,自備桿,6
909945,850353,四,過嶺里,過嶺路二段,過嶺里過嶺路二段8鄰,水泥桿,,鈉光燈,250,FALSE,266927.5313,2762264.5,自備桿,6
909946,850354,四,過嶺里,過嶺路二段,過嶺里過嶺路二段87巷25號,水泥桿,,鈉光燈,250,FALSE,266922.4688,2762201.25,自備桿,6
909947,850355,四,過嶺里,過嶺路二段,過嶺里過嶺路二段8鄰,水泥桿,,鈉光燈,250,FALSE,266844.2188,2762291.25,自備桿,6
909948,850356,四,過嶺里,過嶺路二段,過嶺里過嶺路二段8鄰,水泥桿,,鈉光燈,250,FALSE,266779.9375,2762312.25,自備桿,6
909949,850357,四,過嶺里,過嶺路二段,過嶺里過嶺路二段8鄰,水泥桿,,鈉光燈,250,FALSE,266784.8125,2762294,自備桿,6
909950,850358,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷11弄1號,水泥桿,,鈉光燈,250,FALSE,266748.8438,2762350.25,自備桿,6
909951,850359,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷11弄2號,水泥桿,,鈉光燈,250,FALSE,266785.0938,2762368.75,自備桿,6
909952,850360,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷38弄2號右,金屬不鏽鋼,,鈉光燈,250,FALSE,266750.0625,2762397,自備桿,6
909953,850361,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷38弄8號,水泥桿,,鈉光燈,250,FALSE,266768.5,2762400.75,自備桿,6
909954,850362,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷38弄18號,水泥桿,,鈉光燈,250,FALSE,266790.9063,2762425,自備桿,6
909955,850363,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷38弄40號,水泥桿,,鈉光燈,250,FALSE,266812.7188,2762448.75,台電桿,10
909956,850364,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷38弄58號,水泥桿,,鈉光燈,250,FALSE,266830.5313,2762468,台電桿,10
909957,850365,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄2號附近(過嶺40-69號),水泥桿,,鈉光燈,250,FALSE,266773.8438,2762336.5,自備桿,6
909958,850366,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄2號右邊,水泥桿,,鈉光燈,250,FALSE,266792.7813,2762341,台電桿,10
909959,850367,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄3號右邊,水泥桿,,鈉光燈,250,FALSE,266809.6875,2762353.75,自備桿,6
909960,850368,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄97號右邊第三桿,水泥桿,,鈉光燈,250,FALSE,266822.6563,2762353.5,自備桿,6
909961,850369,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄97號右邊第二桿,水泥桿,,鈉光燈,250,FALSE,266830.1563,2762361.25,自備桿,6
909962,850370,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄97號右邊第一桿,水泥桿,,鈉光燈,250,FALSE,266873.5938,2762357,自備桿,6
909963,850371,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄97號,水泥桿,,鈉光燈,250,FALSE,266894.5938,2762371,台電桿,10
909964,850372,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄107號,水泥桿,,鈉光燈,250,FALSE,266908.5938,2762385.5,自備桿,6
909965,850373,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄115號,水泥桿,,鈉光燈,250,FALSE,266922.875,2762399,電信桿,8
909966,850374,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄121號,水泥桿,,鈉光燈,250,FALSE,266924.9375,2762429.5,台電桿,10
909967,850375,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄122號,水泥桿,,鈉光燈,250,FALSE,266898.4688,2762459.75,自備桿,6
909968,850376,四,過嶺里,過嶺路二段,過嶺里過嶺路二段192巷20弄122號,水泥桿,,鈉光燈,250,FALSE,266912.625,2762493.5,自備桿,6
909969,850377,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面右邊第四桿,水泥桿,,鈉光燈,250,FALSE,266752.6563,2762328.5,自備桿,6
909970,850378,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面右邊第三桿,水泥桿,,鈉光燈,250,FALSE,266707.0938,2762340.5,電信桿,6
909971,850379,四,過嶺里,過嶺路二段,過嶺里過嶺路二段247號對面右邊第二桿,水泥桿,,鈉光燈,250,FALSE,266665.9063,2762351.25,自備桿,6
